id,rulesNo,assumptionsNo,worstCase,relevantRulesNo,worstCaseRelevant,relevantPerc,instance,goal
347,10450,1500,23900,10434,23868,1.0,aba_5000_0.3_5_5_9.aba,s4902
348,1343,50,2786,1343,2786,1.0,aba_500_0.1_5_10_9.aba,s454
349,24754,500,50508,24754,50508,1.0,aba_5000_0.1_10_5_5.aba,s3305
350,533,10,1086,533,1086,1.0,aba_100_0.1_10_5_9.aba,s71
351,264,10,548,264,548,1.0,aba_100_0.1_5_10_3.aba,s9
352,13509,500,28018,13509,28018,1.0,aba_5000_0.1_5_10_9.aba,s26
353,192,30,444,192,444,1.0,aba_100_0.3_5_10_0.aba,s68
354,19518,1500,42036,19518,42036,1.0,aba_5000_0.3_10_5_2.aba,s4355
355,78,8,172,78,172,1.0,aba_25_0.3_10_10_7.aba,s9
356,1369,50,2838,1369,2838,1.0,aba_500_0.1_5_5_5.aba,s373
357,7699,600,16598,7699,16598,1.0,aba_2000_0.3_10_10_1.aba,s909
358,24789,500,50578,24789,50578,1.0,aba_5000_0.1_10_10_5.aba,s1316
359,7868,600,16936,7868,16936,1.0,aba_2000_0.3_10_10_0.aba,s1942
360,5446,200,11292,5446,11292,1.0,aba_2000_0.1_5_5_3.aba,s1856
361,4216,600,9632,4216,9632,1.0,aba_2000_0.3_5_10_0.aba,s252
362,19205,1500,41410,19205,41410,1.0,aba_5000_0.3_10_10_4.aba,s1040
363,4201,600,9602,4199,9598,1.0,aba_2000_0.3_5_5_7.aba,s825
364,2570,50,5240,2570,5240,1.0,aba_500_0.1_10_10_4.aba,s241
365,41,8,98,41,98,1.0,aba_25_0.3_5_5_9.aba,s2
366,531,10,1082,531,1082,1.0,aba_100_0.1_10_5_7.aba,s48
367,64,2,132,64,132,1.0,aba_25_0.1_5_5_2.aba,s14
368,67,2,138,67,138,1.0,aba_25_0.1_5_5_3.aba,s1
369,1970,150,4240,1970,4240,1.0,aba_500_0.3_10_10_9.aba,s164
370,216,30,492,216,492,1.0,aba_100_0.3_5_10_9.aba,s15
371,19128,1500,41256,19128,41256,1.0,aba_5000_0.3_10_5_7.aba,s1952
372,24537,500,50074,24537,50074,1.0,aba_5000_0.1_10_10_2.aba,s2987
373,106,8,228,106,228,1.0,aba_25_0.3_10_10_9.aba,s9
374,24593,500,50186,24593,50186,1.0,aba_5000_0.1_10_5_1.aba,s3347
375,223,30,506,223,506,1.0,aba_100_0.3_5_10_8.aba,s20
376,51,8,118,51,118,1.0,aba_25_0.3_5_10_8.aba,s25
377,359,30,778,359,778,1.0,aba_100_0.3_10_5_7.aba,s67
378,1037,150,2374,1037,2374,1.0,aba_500_0.3_5_10_4.aba,s6
379,7539,600,16278,7539,16278,1.0,aba_2000_0.3_10_5_5.aba,s303
380,2378,50,4856,2378,4856,1.0,aba_500_0.1_10_10_1.aba,s347
381,1020,150,2340,1019,2338,1.0,aba_500_0.3_5_5_8.aba,s455
382,355,30,770,355,770,1.0,aba_100_0.3_10_5_2.aba,s14
383,4185,600,9570,4172,9544,1.0,aba_2000_0.3_5_5_8.aba,s1235
384,24614,500,50228,24614,50228,1.0,aba_5000_0.1_10_5_2.aba,s1824
385,2441,50,4982,2441,4982,1.0,aba_500_0.1_10_5_3.aba,s281
386,4105,600,9410,4105,9410,1.0,aba_2000_0.3_5_10_2.aba,s471
387,467,10,954,467,954,1.0,aba_100_0.1_10_10_0.aba,s96
388,10560,1500,24120,10560,24120,1.0,aba_5000_0.3_5_10_7.aba,s728
389,7577,600,16354,7577,16354,1.0,aba_2000_0.3_10_10_6.aba,s1247
390,1069,150,2438,1069,2438,1.0,aba_500_0.3_5_10_3.aba,s239
391,270,10,560,270,560,1.0,aba_100_0.1_5_10_5.aba,s4
392,24746,500,50492,24746,50492,1.0,aba_5000_0.1_10_5_6.aba,s4443
393,328,30,716,328,716,1.0,aba_100_0.3_10_5_8.aba,s10
394,24700,500,50400,24700,50400,1.0,aba_5000_0.1_10_5_3.aba,s2070
395,44,8,104,44,104,1.0,aba_25_0.3_5_10_7.aba,s8
396,18853,1500,40706,18853,40706,1.0,aba_5000_0.3_10_10_8.aba,s1474
397,1308,50,2716,1308,2716,1.0,aba_500_0.1_5_10_7.aba,s42
398,1992,150,4284,1992,4284,1.0,aba_500_0.3_10_10_3.aba,s53
399,1358,50,2816,1358,2816,1.0,aba_500_0.1_5_10_6.aba,s6
400,5509,200,11418,5509,11418,1.0,aba_2000_0.1_5_10_9.aba,s74
